Start	1985/11/29
End	1999/2/19
Frequency	W
Name	JAPANESE YEN TO US $ - EXCHANGE RATE
Code	USJAPYN
Currency	U$	LN	Week
1985/11/29	#N/A	5.31305	-4
1985/12/6	#N/A	5.30975	-3
1985/12/13	#N/A	5.31212	-2
1985/12/20	#N/A	5.31281	-1
1985/12/27	#N/A	5.30131	0
1986/1/3	202.48	5.310641116	1
1986/1/10	202.35	5.309998871	2
1986/1/17	202.4	5.310245937	3
1986/1/24	195.7	5.276582874	4
1986/1/31	192.3	5.259056653	5
1986/2/7	190.95	5.252011614	6
1986/2/14	181.75	5.202632116	7
1986/2/21	182.9	5.208939555	8
1986/2/28	180.15	5.193789837	9
1986/3/7	179.32	5.189171919	10
1986/3/14	176.6	5.173887288	11
1986/3/21	176	5.170483995	12
1986/3/28	179.55	5.190453721	13
1986/4/4	180.45	5.195453731	14
1986/4/11	178.4	5.18402822	15
1986/4/18	172.8	5.152134856	16
1986/4/25	167.9	5.123368564	17
1986/5/2	169.63	5.133619595	18
1986/5/9	162.8	5.092522454	19
1986/5/16	165.55	5.109273264	20
1986/5/23	169.7	5.134032172	21
1986/5/30	174.3	5.160777953	22
1986/6/6	167.55	5.121281814	23
1986/6/13	165.18	5.107035788	24
1986/6/20	167.85	5.123070723	25
1986/6/27	165.3	5.107762005	26
1986/7/4	161.1	5.08202529	27
1986/7/11	161.3	5.083265985	28
1986/7/18	156	5.049856007	29
1986/7/25	158.2	5.063860055	30
1986/8/1	153.65	5.034677289	31
1986/8/8	154.25	5.038574663	32
1986/8/15	153.87	5.03610809	33
1986/8/22	153.35	5.032722891	34
1986/8/29	153.8	5.035653057	35
1986/9/5	155.5	5.046645732	36
1986/9/12	155.25	5.045036721	37
1986/9/19	152	5.023880521	38
1986/9/26	154.3	5.038898759	39
1986/10/3	154.3	5.038898759	40
1986/10/10	154.4	5.039546638	41
1986/10/17	153.6	5.034351821	42
1986/10/24	161.4	5.083885756	43
1986/10/31	163.25	5.095282768	44
1986/11/7	163.05	5.094056902	45
1986/11/14	161.4	5.083885756	46
1986/11/21	164	5.099866428	47
1986/11/28	161.85	5.08666998	48
1986/12/5	162.1	5.088213429	49
1986/12/12	162.9	5.093136516	50
1986/12/19	163.1	5.09436351	51
1986/12/26	162.5	5.090678002	52
1987/1/2	158.1	5.063227744	53
1987/1/9	158.05	5.062911439	54
1987/1/16	153.4	5.033048889	55
1987/1/23	152.9	5.029784113	56
1987/1/30	153.5	5.033700567	57
1987/2/6	154.38	5.039417096	58
1987/2/13	153.6	5.034351821	59
1987/2/20	153.63	5.034547114	60
1987/2/27	153.45	5.033374781	61
1987/3/6	153.35	5.032722891	62
1987/3/13	152.3	5.02585226	63
1987/3/20	151.4	5.019925341	64
1987/3/27	147.2	4.991792206	65
1987/4/3	146.05	4.983949029	66
1987/4/10	144.1	4.970507503	67
1987/4/17	143.05	4.963194219	68
1987/4/24	139.75	4.939855112	69
1987/5/1	140.05	4.941999502	70
1987/5/8	139.55	4.93842296	71
1987/5/15	139.4	4.937347498	72
1987/5/22	140.67	4.946416722	73
